plant;date;height_cm;width_cm;note;health
Albus;23.07.2024;11.0;1.0;;3
Jesus;24.07.2024;14.0;12.0;Added during plant creation;3
Jerry;31.07.2024;33.0;45.0;;3
Kelly;31.07.2024;44.0;50.0;;3
Chrom;31.07.2024;110.0;78.0;;3
Tom;31.07.2024;34.0;56.0;;3
Terry;31.07.2024;60.0;82.0;;3
Klaus;31.07.2024;130.0;110.0;;3
Tony;31.07.2024;83.0;40.0;DOne;3
Louie;31.07.2024;83.0;60.0;;3
Jake;31.07.2024;72.0;48.0;;3
Charles;31.07.2024;87.0;40.0;Top branch got broken off during move;3
Ray;31.07.2024;89.0;70.0;;3
Amy;31.07.2024;110.0;65.0;;3
Rosa;31.07.2024;104.0;85.0;;3
Gina;31.07.2024;96.0;74.0;;3
Scully;31.07.2024;97.0;80.0;;3
Hitchcock;31.07.2024;90.0;96.0;;3
Jim;31.07.2024;20.0;16.0;;3
Tim;31.07.2024;26.0;12.0;;3
Chris;31.07.2024;30.0;12.0;;3
Bart;31.07.2024;17.0;11.0;;3
Bond;31.07.2024;26.0;27.0;;3
Zane;31.07.2024;40.0;40.0;;3
Zoey;31.07.2024;31.0;41.0;;3
Brock;31.07.2024;30.0;33.0;;3
Hella;31.07.2024;36.0;15.0;;3
Harry;31.07.2024;27.0;35.0;;3
Cyrus;31.07.2024;5.0;22.0;Didn't like the move, might be dying;3
Biggie;31.07.2024;16.0;22.0;Old leaf broke off, but new one is already growing;3
Tupac;31.07.2024;5.0;6.0;Leaf got burned from the sun;3
Beehome;31.07.2024;24.0;30.0;most flowers have wilted already;3
Nosferatu;31.07.2024;25.0;10.0;at the end of life;3
Kevin;31.07.2024;43.0;28.0;;3
Nadja;31.07.2024;49.0;31.0;;3
Nate;31.07.2024;23.0;14.0;;3
Sandy;31.07.2024;41.0;32.0;;3
Sandra;31.07.2024;22.0;15.0;;3
Lucy;31.07.2024;50.0;36.0;;3
Lucas;31.07.2024;11.0;9.0;;3
Stefan;31.07.2024;15.0;35.0;;3
Mike;31.07.2024;47.0;23.0;Last pot broke during the move;3
Elvis;31.07.2024;17.0;42.0;;3
Maria;31.07.2024;13.0;18.0;Fell over, but recovered;3
Jesus;31.07.2024;15.0;13.0;Fell over, might survive;3
Fuchur;31.07.2024;46.0;46.0;Fell over, not sure if he will survive, but now separated into two plants;3
Anya;31.07.2024;5.0;8.0;;3
Leela;31.07.2024;14.0;25.0;;3
Peppa;31.07.2024;11.0;13.0;;3
Mrs Sprout;31.07.2024;24.0;21.0;;3
Findus;31.07.2024;77.0;76.0;DOne;3
Eva Longoria;31.07.2024;58.0;42.0;;3
Bubba;31.07.2024;59.0;45.0;;3
Liliana;31.07.2024;24.0;30.0;;3
Pumbaa;31.07.2024;22.0;26.0;;3
Timon;31.07.2024;19.0;21.0;;3
Martha;31.07.2024;24.0;30.0;;3
